ano,id_municipio,populacao_urbana,populacao_urbana_residente_agua,populacao_urbana_atendida_agua,populacao_urbana_residente_esgoto,populacao_urbana_atendida_esgoto
2021,2709152,37674.0,37674.0,37500.0,37674.0,28000.0
2021,2902104,20874.0,20874.0,20820.0,20874.0,17030.0
2020,2905107,3193.0,3193.0,3193.0,3193.0,0.0
2021,2908507,26280.0,26280.0,26143.0,26280.0,1557.0
2020,2909505,3376.0,3376.0,3336.0,3376.0,2763.0
2020,2910750,6992.0,6992.0,6975.0,6992.0,6990.0
2021,2913200,20768.0,20768.0,20695.0,20768.0,18248.0
2019,2913507,15267.0,15267.0,15267.0,15267.0,1827.0
2021,2913606,132864.0,132864.0,130926.0,132864.0,86763.0
2020,2915106,9577.0,9577.0,9516.0,9577.0,9577.0
2020,2917607,41639.0,41639.0,41625.0,41639.0,15885.0
2020,2301901,42080.0,42080.0,32947.0,42080.0,5502.0
2021,2303501,61730.0,61730.0,33972.0,61730.0,1771.0
2020,2304400,2686612.0,2686612.0,2075874.0,2686612.0,1486845.0
2019,2305407,31655.0,31655.0,31238.0,31655.0,18117.0
2019,2310308,14202.0,14202.0,9740.0,14202.0,11361.0
2019,2312403,31484.0,31484.0,12700.0,31484.0,5858.0
2020,2312908,186170.0,186170.0,186519.0,186170.0,178530.0
2019,3202504,9451.0,9451.0,9420.0,9451.0,9100.0
2020,3202553,3142.0,3142.0,2052.0,3142.0,2855.0
2020,3204351,7462.0,7462.0,7462.0,7462.0,6442.0
2020,3205101,72933.0,72933.0,57193.0,72933.0,28108.0
2021,5200258,222514.0,222514.0,215705.0,222514.0,102941.0
2021,5202155,5396.0,5396.0,5396.0,5396.0,3997.0
2020,5205471,8804.0,8804.0,8804.0,8804.0,7767.0
2021,5211503,102312.0,102312.0,102312.0,102312.0,102312.0
2019,5221700,11246.0,11246.0,11246.0,11246.0,377.0
2021,2111300,1054007.0,1054007.0,964243.0,1054007.0,556308.0
2019,3100807,2595.0,2595.0,2595.0,2595.0,2595.0
2021,3113503,6941.0,6941.0,6941.0,6941.0,5666.0
2019,3116001,2813.0,2813.0,2589.0,2813.0,2294.0
2020,3120003,1778.0,1778.0,1778.0,1778.0,1778.0
2019,3126109,61821.0,61821.0,61806.0,61821.0,59289.0
2019,3127503,3367.0,3367.0,3367.0,3367.0,3367.0
2021,3129400,3432.0,3432.0,3328.0,3432.0,3432.0
2021,3130655,2741.0,2741.0,2741.0,2741.0,1023.0
2019,3130903,13904.0,13904.0,10238.0,13904.0,6569.0
2021,3132503,24007.0,24007.0,22354.0,24007.0,20720.0
2021,3134608,12965.0,12965.0,12251.0,12965.0,8030.0
2021,3135050,20923.0,20923.0,19920.0,20923.0,7214.0
2020,3136900,5219.0,5219.0,5053.0,5219.0,5219.0
2019,3137809,14940.0,14940.0,14940.0,14940.0,14453.0
2020,3138302,2166.0,2166.0,2056.0,2166.0,1922.0
2021,3145356,4618.0,4618.0,4608.0,4618.0,4607.0
2021,3150901,1869.0,1869.0,1869.0,1869.0,1853.0
2021,3154507,4552.0,4552.0,4552.0,4552.0,2712.0
2021,3164308,4483.0,4483.0,4119.0,4483.0,3773.0
2020,3165503,2271.0,2271.0,2213.0,2271.0,2249.0
2020,3165578,3185.0,3185.0,3078.0,3185.0,3180.0
2019,3170438,2656.0,2656.0,2159.0,2656.0,2172.0
2020,5001243,6444.0,6444.0,6380.0,6444.0,1240.0
2019,5008305,115757.0,115757.0,114599.0,115757.0,109216.0
2021,5101704,29143.0,29143.0,28869.0,29143.0,9350.0
2019,5106828,4579.0,4579.0,4579.0,4579.0,3350.0
2019,1504604,21291.0,21291.0,8700.0,21291.0,4500.0
2021,1505502,90605.0,90605.0,90439.0,90605.0,12366.0
2019,2503209,67727.0,67727.0,67727.0,67727.0,24699.0
2020,2515203,2277.0,2277.0,2200.0,2277.0,2200.0
2019,2600609,8264.0,8264.0,7210.0,8264.0,3780.0
2019,2603454,157828.0,157828.0,124664.0,157828.0,2098.0
2020,2604106,324306.0,324306.0,324306.0,324306.0,201201.0
2019,2614105,19721.0,19721.0,19721.0,19721.0,13468.0
2021,2203750,1403.0,1403.0,500.0,1403.0,500.0
2019,4101804,133074.0,133074.0,133074.0,133074.0,125650.0
2021,4106902,1963726.0,1963726.0,1963726.0,1963726.0,1963333.0
2019,4107801,4365.0,4365.0,4365.0,4365.0,1313.0
