ano,id_municipio,extensao_rede_agua,extensao_rede_esgoto,quantidade_sede_municipal_agua,quantidade_sede_municipal_esgoto,quantidade_localidade_agua,quantidade_localidade_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,volume_agua_produzido,volume_esgoto_tratado
2021,2709152,99.0,55.19,1.0,1.0,2.0,0.0,10465.0,6300.0,2400.0,2000.0
2021,2902104,355.69,117.25,1.0,1.0,8.0,0.0,12293.0,14679.0,1532.15,16.95
2020,2905107,80.81,3.8,1.0,0.0,2.0,1.0,2657.0,207.0,369.14,14.97
2021,2908507,63.54,2.84,1.0,1.0,0.0,0.0,5695.0,472.0,1310.8,40.12
2020,2909505,16.43,24.28,1.0,1.0,0.0,0.0,1349.0,1009.0,149.83,98.36
2020,2910750,80.25,8.84,1.0,1.0,10.0,1.0,6913.0,950.0,1189.95,0.0
2021,2913200,116.46,64.63,1.0,1.0,1.0,0.0,8922.0,7097.0,1349.06,675.88
2019,2913507,32.36,4.77,1.0,1.0,0.0,0.0,5454.0,620.0,684.27,45.29
2021,2913606,596.56,154.07,1.0,1.0,9.0,0.0,49302.0,35325.0,10996.19,4510.95
2020,2915106,23.78,16.0,1.0,1.0,0.0,0.0,3966.0,2050.0,441.21,0.0
2020,2917607,122.1,88.52,1.0,1.0,1.0,1.0,14798.0,5595.0,1975.52,637.59
2020,2301901,98.55,46.34,1.0,1.0,0.0,0.0,13293.0,1884.0,3572.01,183.98
2021,2303501,166.69,5.67,1.0,1.0,1.0,0.0,13034.0,543.0,2002.59,38.01
2020,2304400,4206.1,2724.26,1.0,1.0,0.0,0.0,670266.0,416702.0,253078.1,58482.38
2019,2305407,140.0,49.0,1.0,1.0,0.0,0.0,13661.0,4623.0,4905.0,1338.0
2019,2310308,38.9,20.0,1.0,1.0,0.0,0.0,4629.0,2700.0,544.23,0.0
2019,2312403,155.77,43.52,1.0,1.0,4.0,2.0,8075.0,4182.0,1426.17,2339.73
2020,2312908,825.25,580.0,1.0,1.0,33.0,3.0,65259.0,44937.0,18600.42,4450.68
2019,3202504,80.0,65.0,1.0,1.0,2.0,1.0,3438.0,2969.0,1260.0,0.0
2020,3202553,30.0,25.0,1.0,1.0,5.0,4.0,1978.0,1500.0,490.0,0.0
2020,3204351,28.0,22.0,1.0,1.0,1.0,1.0,2877.0,2643.0,587.18,342.64
2020,3205101,275.95,95.87,1.0,1.0,4.0,4.0,15073.0,7142.0,2198.68,1025.38
2021,5200258,225.11,430.33,1.0,1.0,0.0,0.0,77278.0,28616.0,14154.98,2304.01
2021,5202155,43.02,16.69,1.0,1.0,0.0,0.0,2480.0,1526.0,293.42,154.54
2020,5205471,88.99,91.3,1.0,1.0,0.0,0.0,4352.0,3436.0,2301.0,943.0
2021,5211503,597.98,266.55,1.0,1.0,0.0,0.0,40980.0,41049.0,10066.87,6358.77
2019,5221700,48.76,3.66,1.0,1.0,2.0,0.0,5252.0,179.0,822.6,22.38
2021,2111300,2082.08,967.56,1.0,1.0,0.0,0.0,197505.0,91144.0,130152.81,8921.27
2019,3100807,15.5,12.2,1.0,1.0,0.0,0.0,1708.0,1150.0,288.95,0.0
2021,3113503,51.82,60.05,1.0,1.0,2.0,1.0,3900.0,2815.0,398.62,178.8
2019,3116001,30.0,28.0,1.0,1.0,1.0,1.0,2184.0,1960.0,2284.0,0.0
2020,3120003,13.02,20.5,1.0,1.0,0.0,0.0,966.0,885.0,146.55,0.0
2019,3126109,500.0,500.0,1.0,1.0,39.0,2.0,27924.0,25000.0,6236.0,0.0
2019,3127503,21.86,15.0,1.0,1.0,4.0,2.0,1380.0,1262.0,199.42,0.0
2021,3129400,17.98,23.0,1.0,1.0,0.0,0.0,1806.0,1740.0,222.73,575.0
2021,3130655,37.0,7.89,1.0,1.0,1.0,0.0,1232.0,478.0,144.19,32.69
2019,3130903,41.75,32.44,1.0,1.0,0.0,0.0,4609.0,3007.0,732.47,0.0
2021,3132503,112.94,99.92,1.0,1.0,5.0,2.0,10526.0,8893.0,1448.0,81.08
2021,3134608,76.68,46.45,1.0,1.0,0.0,0.0,4015.0,2884.0,617.32,223.69
2021,3135050,133.2,64.96,1.0,1.0,0.0,0.0,8920.0,3197.0,1259.29,277.19
2020,3136900,27.58,46.0,1.0,1.0,0.0,0.0,2925.0,1998.0,419.09,0.0
2019,3137809,104.87,101.03,1.0,1.0,1.0,1.0,7176.0,6312.0,1803.68,0.0
2020,3138302,10.72,11.04,1.0,1.0,0.0,0.0,1107.0,1092.0,183.93,0.0
2021,3145356,24.3,15.22,1.0,1.0,2.0,2.0,2832.0,2311.0,340.33,191.49
2021,3150901,40.01,37.1,1.0,1.0,0.0,5.0,1642.0,1124.0,230.91,0.0
2021,3154507,37.13,21.25,1.0,1.0,0.0,0.0,2044.0,1226.0,193.2,92.61
2021,3164308,32.11,37.43,1.0,1.0,0.0,0.0,2503.0,2294.0,355.99,199.97
2020,3165503,14.42,14.2,1.0,1.0,0.0,0.0,1073.0,1000.0,178.52,0.0
2020,3165578,17.61,13.8,1.0,1.0,1.0,2.0,1685.0,1280.0,231.98,0.0
2019,3170438,15.86,15.49,1.0,1.0,0.0,0.0,1069.0,1077.0,143.67,92.4
2020,5001243,40.58,6.31,1.0,1.0,2.0,0.0,2203.0,369.0,557.6,0.0
2019,5008305,746.44,486.74,1.0,1.0,1.0,0.0,48669.0,33854.0,10729.07,3916.7
2021,5101704,93.0,46.0,1.0,1.0,3.0,0.0,9024.0,2000.0,4415.04,0.0
2019,5106828,32.67,12.45,1.0,1.0,0.0,0.0,1844.0,1027.0,339.66,103.72
2019,1504604,25.0,10.5,1.0,1.0,0.0,0.0,1747.0,1350.0,546.99,0.0
2021,1505502,298.54,44.86,1.0,1.0,13.0,0.0,27137.0,3261.0,9123.27,228.34
2019,2503209,78.98,8.75,1.0,1.0,0.0,0.0,15598.0,1890.0,7270.4,879.65
2020,2515203,20.0,10.0,1.0,1.0,1.0,1.0,800.0,800.0,200.0,150.0
2019,2600609,20.05,18.0,1.0,1.0,0.0,1.0,2254.0,2330.0,378.05,0.0
2019,2603454,344.17,7.53,1.0,1.0,1.0,1.0,30338.0,561.0,11189.51,160.27
2020,2604106,1070.4,799.68,1.0,1.0,2.0,0.0,112029.0,51672.0,23118.85,6404.45
2019,2614105,73.77,46.75,1.0,1.0,0.0,0.0,6622.0,5785.0,1623.8,0.0
2021,2203750,10.0,3.0,1.0,1.0,2.0,0.0,400.0,90.0,100.0,0.0
2019,4101804,680.06,519.54,1.0,1.0,3.0,0.0,40129.0,30845.0,97.75,4486.81
2021,4106902,7624.22,6194.83,1.0,1.0,0.0,0.0,500609.0,467126.0,123640.87,91576.66
2019,4107801,44.14,10.8,1.0,1.0,1.0,0.0,2297.0,542.0,341.91,68.15
2020,4109401,1101.0,873.57,1.0,1.0,4.0,1.0,55441.0,45460.0,11034.74,6769.1
2021,4109708,178.99,29.82,1.0,1.0,5.0,0.0,10371.0,2287.0,1735.8,266.47
2020,4111506,244.68,57.88,1.0,1.0,3.0,0.0,12593.0,1817.0,2392.34,316.75
2020,4114609,606.31,158.15,1.0,1.0,8.0,0.0,19200.0,5994.0,5166.66,785.71
2020,4119301,113.51,46.9,1.0,1.0,3.0,1.0,6776.0,2419.0,953.01,300.93
2021,4127304,162.0,98.2,1.0,1.0,1.0,0.0,6366.0,3101.0,2131.8,435.6
2021,4127908,43.39,39.19,1.0,1.0,0.0,0.0,1987.0,1546.0,311.79,192.05
2019,4127908,44.56,6.88,1.0,1.0,0.0,0.0,1890.0,1223.0,299.22,97.43
2020,4128005,216.25,72.7,1.0,1.0,1.0,0.0,9127.0,3387.0,1690.52,464.61
2021,3300407,780.0,580.0,1.0,1.0,5.0,2.0,49405.0,40956.0,15510.6,300.0
2019,3301876,298.0,9.0,1.0,1.0,0.0,0.0,15320.0,15320.0,2488.0,2140.0
2021,3304557,10874.23,7009.58,1.0,1.0,0.0,22.0,1409856.0,880189.0,3259.64,346468.38
2020,2400505,57.0,34.0,1.0,1.0,0.0,0.0,3836.0,3061.0,510.0,0.0
2020,2402501,15.03,12.47,1.0,1.0,0.0,0.0,1024.0,846.0,396.72,113.89
2020,2408904,111.03,64.66,1.0,1.0,0.0,0.0,6581.0,6022.0,1220.11,601.14
2019,2408904,72.84,65.0,1.0,1.0,0.0,0.0,6530.0,6005.0,1031.29,595.4
2021,2409902,38.84,17.67,1.0,1.0,1.0,0.0,3016.0,1548.0,953.88,177.49
2020,2412609,105.36,9.5,1.0,1.0,0.0,0.0,5068.0,799.0,757.1,79.73
2021,1100023,377.91,9.06,1.0,1.0,0.0,0.0,31426.0,692.0,5317.92,78.92
2021,1101500,39.97,19.0,1.0,1.0,0.0,0.0,1047.0,576.0,246.22,0.0
2019,4300802,64.86,65.0,1.0,1.0,0.0,0.0,3158.0,2800.0,838.39,0.0
2019,4306759,2.0,4.0,1.0,1.0,12.0,0.0,400.0,50.0,70.0,2.8
2019,4309050,34.36,22.43,1.0,1.0,0.0,0.0,1761.0,705.0,311.21,150.62
2020,4312153,112.8,1.0,1.0,0.0,6.0,1.0,2151.0,33.0,260.0,0.0
2021,4313508,222.7,25.9,1.0,1.0,0.0,0.0,14244.0,301.0,2373.39,0.0
2020,4318432,13.6,5.6,1.0,1.0,16.0,3.0,380.0,325.0,70.0,0.0
2019,4320909,71.62,3.0,1.0,1.0,0.0,0.0,5862.0,199.0,2296.1,3.84
2021,4203907,187.44,16.61,1.0,1.0,0.0,0.0,7049.0,733.0,1765.48,143.6
2019,4205209,28.16,29.58,1.0,1.0,0.0,0.0,1310.0,1385.0,284.47,63.0
2020,4207304,329.54,10.34,1.0,1.0,0.0,0.0,18928.0,482.0,4202.06,180.08
2019,4208005,36.41,13.77,1.0,1.0,0.0,0.0,1577.0,1250.0,359.6,140.4
2019,4208302,291.17,175.9,1.0,1.0,0.0,0.0,14911.0,6787.0,6163.72,3042.59
2019,4217550,36.0,2.0,1.0,1.0,11.0,0.0,896.0,32.0,105.0,3.0
2020,2803005,105.95,54.0,1.0,1.0,5.0,3.0,8360.0,7023.0,1984.21,0.0
2021,2803708,22.45,23.5,1.0,1.0,5.0,0.0,1896.0,2281.0,353.41,26.9
2019,3503406,50.84,33.65,1.0,1.0,2.0,2.0,3049.0,2724.0,565.59,427.54
2019,3507100,164.6,125.07,1.0,1.0,5.0,0.0,7937.0,6401.0,2134.77,0.0
2020,3507159,22.69,9.75,1.0,1.0,0.0,0.0,936.0,886.0,148.22,104.7
2019,3509254,123.52,73.22,1.0,1.0,2.0,2.0,8607.0,6791.0,1806.88,1041.58
2019,3510005,2024.0,2189.0,1.0,1.0,1.0,1.0,12067.0,11909.0,2969.0,1900.0
2019,3511201,22.73,24.86,1.0,1.0,0.0,0.0,2791.0,2779.0,518.44,417.31
2021,3512100,26.05,28.27,1.0,1.0,1.0,1.0,2369.0,2302.0,485.5,364.03
2019,3513702,195.0,185.0,1.0,1.0,0.0,0.0,12829.0,12640.0,3863.15,0.0
2020,3515004,646.5,319.1,1.0,1.0,1.0,1.0,83379.0,55942.0,0.0,3882.76
2019,3515400,54.82,45.75,1.0,1.0,0.0,0.0,5483.0,5361.0,1119.31,729.92
2019,3515608,32.99,18.23,1.0,1.0,1.0,1.0,2423.0,2397.0,402.59,327.1
2019,3516507,19.41,11.04,1.0,1.0,0.0,0.0,1149.0,1134.0,197.22,161.24
2019,3517307,29.0,29.0,1.0,1.0,0.0,0.0,1865.0,1865.0,795.0,681.0
2019,3517802,52.0,42.0,1.0,1.0,0.0,0.0,3110.0,3015.0,653.15,464.01
2020,3518008,31.42,14.33,1.0,1.0,0.0,0.0,881.0,840.0,152.62,131.53
2021,3519105,74.0,67.0,1.0,1.0,2.0,0.0,4310.0,4203.0,1624.68,807.96
2021,3519709,128.15,55.78,1.0,1.0,1.0,1.0,16193.0,6531.0,3486.3,857.78
2021,3523107,954.98,531.96,1.0,1.0,0.0,0.0,108048.0,70739.0,0.0,1500.18
2019,3523503,54.46,56.99,1.0,1.0,1.0,1.0,5932.0,5890.0,1251.33,832.59
2021,3524204,35.35,22.94,1.0,1.0,0.0,0.0,2283.0,2419.0,427.1,348.37
2021,3525003,258.2,162.79,1.0,1.0,0.0,0.0,36605.0,27517.0,0.0,1679.38
2019,3525409,19.06,17.44,1.0,1.0,0.0,0.0,1305.0,1288.0,235.19,195.2
2019,3525508,61.74,38.88,1.0,1.0,0.0,0.0,4274.0,3881.0,675.72,401.87
2020,3526605,34.82,15.5,1.0,1.0,1.0,1.0,2487.0,1689.0,480.66,240.25
2020,3527504,11.38,8.11,1.0,1.0,0.0,0.0,897.0,831.0,157.27,117.99
2021,3529302,395.64,380.72,1.0,1.0,2.0,2.0,31661.0,31557.0,9830.19,6746.92
2019,3529609,27.37,22.05,1.0,1.0,1.0,1.0,1590.0,1542.0,277.91,245.26
2021,3531100,440.18,349.33,1.0,1.0,0.0,0.0,41490.0,34078.0,9064.4,3942.86
2020,3532009,110.73,55.73,1.0,1.0,0.0,0.0,4484.0,4328.0,929.73,659.55
2019,3532843,9.77,10.39,1.0,1.0,1.0,1.0,700.0,685.0,110.17,98.46
2020,3536000,55.98,54.01,1.0,1.0,1.0,1.0,4183.0,4113.0,663.92,598.42
2020,3536570,7.07,7.97,1.0,1.0,0.0,0.0,609.0,598.0,106.35,81.63
2020,3539202,137.76,109.03,1.0,1.0,1.0,1.0,10370.0,9888.0,1840.26,1503.97
